activity_key,user_key,date_key,content_key,device_key,subscription_key,minutes_watched,session_duration_mins,completion_rate,pause_count,buffering_events,stream_quality,subtitle_used,audio_language,login_count,added_to_watchlist,shared_content,content_rated,user_rating,search_performed,search_query_count,feedback_given,recommendation_shown,recommendation_clicked,recommendation_converted,recommendation_algorithm,recommendation_position,time_to_click_seconds,relevance_score,subscription_event_type,payment_amount_usd,payment_method,is_trial,cancellation_reason,auto_renewal_enabled,revenue_attributed_usd,notification_sent,notification_clicked,error_encountered,error_type,ab_test_group,platform_version
4539,333,276,2,2,1,39.85,39.72,0.98,2,3,720p,False,Hindi,1,False,False,False,,True,1,,True,False,False,Content-Based,6,,0.676,Renewal,7.99,Credit Card,False,,False,0.29,True,False,False,,Control,v3.1
4540,195,307,172,2,2,54.31,68.98,0.85,2,4,480p,False,Original,8,False,False,False,,False,0,,True,True,False,Content-Based,5,4.0,0.885,None,0.0,Credit Card,False,,False,1.69,False,False,False,,Control,v4.0
4541,496,79,82,1,3,32.7,30.26,0.34,5,0,240p,True,English,6,False,False,False,,False,0,Thumbs Up,True,False,False,Collaborative Filtering,7,,0.714,None,0.0,Credit Card,False,,True,1.76,True,False,False,,Control,v3.2
4542,9,341,120,3,3,15.56,14.86,0.67,0,0,4K,False,English,3,True,False,True,3.9,False,0,,True,False,False,Collaborative Filtering,19,,0.992,None,0.0,Debit Card,False,,True,2.42,True,False,False,,Variant_A,v3.3
4543,316,138,132,2,3,23.48,26.38,0.7,6,4,1080p,True,Hindi,4,True,False,False,,True,2,Thumbs Up,True,False,False,Collaborative Filtering,11,,0.878,None,0.0,Debit Card,False,,False,0.18,True,False,False,,Variant_B,v4.0
4544,334,204,180,2,1,1.69,1.76,0.42,3,4,4K,False,English,7,False,False,False,,True,2,,True,True,False,Collaborative Filtering,6,39.6,0.837,None,0.0,Credit Card,False,,True,2.03,False,False,False,,Variant_B,v3.3
4545,333,257,8,4,3,74.71,77.83,0.84,4,1,480p,True,English,4,True,False,False,,True,1,,True,True,False,Collaborative Filtering,9,50.3,0.753,Signup,19.99,Debit Card,True,,True,1.58,True,False,False,,Variant_A,v4.0
4546,327,110,72,1,2,174.47,204.24,0.54,8,0,720p,False,English,8,True,False,False,,True,3,,True,True,False,Trending,20,33.3,0.647,Upgrade,13.99,Credit Card,False,,False,0.27,False,False,True,Playback Error,Control,v3.2
4547,15,157,37,2,1,268.51,315.67,0.71,3,4,4K,True,Hindi,7,False,False,False,,False,0,,True,False,False,Content-Based,18,,0.432,Downgrade,7.99,Debit Card,False,,False,0.92,False,False,False,,Control,v3.3
4548,327,186,152,2,1,68.98,79.63,0.49,7,2,1080p,False,English,6,False,False,False,,True,2,,False,False,False,Collaborative Filtering,8,,0.411,None,0.0,Credit Card,False,,True,1.42,True,False,False,,Variant_A,v4.0
4549,102,270,1,4,2,98.69,100.66,0.5,3,2,1080p,False,English,2,False,False,False,,False,0,,True,False,False,Hybrid,18,,0.428,None,0.0,Debit Card,False,,True,0.23,False,False,False,,Variant_A,v4.0
4550,226,214,112,1,3,42.53,44.12,0.63,2,4,1080p,False,English,3,False,False,True,4.4,True,1,,True,False,False,Trending,5,,0.975,None,0.0,Debit Card,False,,True,1.79,False,False,False,,Control,v4.0
4551,425,300,70,2,2,9.33,10.85,0.91,3,1,1080p,True,English,1,True,True,False,,False,0,,True,False,False,Trending,6,,0.594,Renewal,0.0,Credit Card,False,,True,2.2,False,False,True,Auth Error,Variant_B,v3.3
4552,278,269,166,3,1,210.23,269.89,0.57,0,0,4K,False,German,3,True,False,False,,False,0,,True,False,False,Collaborative Filtering,2,,0.82,None,0.0,Credit Card,False,,True,1.41,True,False,False,,Control,v3.1
4553,408,62,72,3,2,288.68,270.69,0.81,1,2,4K,False,English,7,False,False,False,,False,0,Thumbs Up,True,False,False,Content-Based,4,,0.757,None,0.0,Debit Card,False,,False,1.73,True,True,False,,Variant_B,v3.3
4554,113,214,124,3,3,32.37,31.85,0.67,4,4,480p,False,English,1,False,False,False,,False,0,,True,False,False,Trending,19,,0.743,Renewal,0.0,Apple Pay,False,,True,1.61,False,False,False,,Variant_A,v3.1
4555,485,36,38,2,3,16.86,16.7,0.9,6,4,1080p,True,English,8,False,False,False,,False,0,,True,False,False,Hybrid,4,,0.748,Signup,7.99,Credit Card,False,,True,0.24,True,True,False,,Control,v3.2
4556,428,156,194,3,3,223.55,206.98,0.32,4,3,4K,False,French,7,False,True,False,,False,0,,True,False,False,Hybrid,16,,0.581,None,0.0,Gift Card,False,,True,0.87,True,True,False,,Variant_A,v3.3
4557,1,35,143,4,2,12.75,16.11,0.42,6,4,4K,False,Spanish,3,True,False,False,,True,4,,False,False,False,Content-Based,1,,0.932,None,0.0,PayPal,False,,False,2.12,True,False,False,,Control,v4.0
4558,266,297,135,2,3,68.89,78.44,0.84,7,1,720p,True,Original,5,False,False,False,,True,5,,True,False,False,Collaborative Filtering,16,,0.952,Signup,7.99,Credit Card,False,,True,1.98,False,False,False,,Variant_B,v4.0
4559,491,70,36,1,1,298.42,360.7,0.54,5,2,720p,False,Spanish,7,False,False,False,,True,1,,True,False,False,Hybrid,1,,0.787,None,0.0,Credit Card,False,,True,0.92,True,False,False,,Control,v3.2
4560,208,267,49,4,2,52.62,61.81,0.58,0,3,1080p,True,Spanish,3,False,True,False,,True,3,,True,False,False,Editorial,17,,0.918,Signup,13.99,Apple Pay,False,,False,1.35,True,True,False,,Control,v4.0
4561,110,50,37,4,1,29.78,34.96,0.39,3,2,720p,False,Spanish,7,False,False,True,2.0,False,0,,True,False,False,Editorial,5,,0.436,Renewal,7.99,Credit Card,False,,True,2.33,True,False,False,,Control,v4.0
4562,200,106,26,4,2,206.1,253.45,0.67,8,2,1080p,True,English,6,False,False,False,,False,0,,True,True,False,Content-Based,16,68.5,0.46,Renewal,0.0,Gift Card,False,,True,2.45,False,False,False,,Variant_B,v4.0
4563,440,60,109,1,3,16.18,19.42,0.59,0,1,1080p,False,Hindi,2,False,False,False,,True,1,,True,False,False,Content-Based,3,,0.735,None,0.0,Credit Card,False,,True,2.03,True,False,False,,Variant_B,v3.2
4564,369,96,199,1,3,47.27,54.27,0.82,5,4,720p,True,Spanish,2,False,False,True,2.2,True,1,Thumbs Down,True,False,False,Collaborative Filtering,10,,0.908,None,0.0,Debit Card,False,,True,0.76,True,True,False,,Control,v3.2
4565,473,185,90,4,1,48.56,59.87,0.9,4,1,1080p,False,Original,7,False,False,False,,False,0,,True,False,False,Trending,18,,0.589,Signup,7.99,Credit Card,False,,True,0.34,True,False,False,,Variant_A,v3.2
4566,306,342,95,1,3,4.8,4.95,0.68,1,4,720p,False,Spanish,9,False,False,False,,False,0,,True,True,False,Collaborative Filtering,18,107.0,0.729,Signup,19.99,Debit Card,False,,True,2.25,True,False,False,,Variant_A,v3.1
4567,12,340,65,2,3,9.43,8.78,0.4,8,3,4K,True,English,4,False,False,False,,True,1,,True,True,False,Collaborative Filtering,17,6.9,0.406,None,0.0,PayPal,False,,False,1.69,False,False,False,,Variant_A,v3.1
4568,345,219,197,3,3,61.76,73.41,0.64,5,1,720p,True,English,4,True,False,False,,False,0,,True,False,False,Trending,11,,0.992,Upgrade,19.99,Apple Pay,False,,True,2.11,False,False,False,,Variant_A,v3.1
4569,465,159,4,2,1,85.51,107.94,0.76,2,1,480p,True,English,5,False,False,True,3.5,False,0,,True,False,False,Collaborative Filtering,9,,0.86,None,0.0,Credit Card,False,,True,0.29,False,False,False,,Control,v4.0
4570,188,52,163,2,2,18.0,17.0,0.85,0,0,720p,False,English,2,False,False,True,3.5,False,0,,True,False,False,Trending,11,,0.617,None,0.0,Gift Card,False,,True,1.45,True,False,False,,Variant_A,v4.0
4571,154,206,94,4,1,68.46,68.16,0.89,3,1,4K,True,English,8,False,False,True,2.1,False,0,,True,False,False,Hybrid,9,,0.99,None,0.0,Credit Card,False,,False,2.2,False,False,False,,Control,v3.3
4572,494,294,58,3,1,223.89,233.08,0.91,7,0,720p,False,English,8,False,False,False,,False,0,,True,False,False,Content-Based,17,,0.455,None,0.0,Apple Pay,False,,True,0.25,False,False,False,,Control,v4.0
4573,368,233,5,1,1,117.39,107.02,0.42,1,4,1080p,True,English,5,False,False,False,,False,0,,True,False,False,Hybrid,20,,0.679,Signup,0.0,PayPal,False,,True,2.34,False,False,False,,Control,v4.0
4574,334,242,12,1,2,29.91,38.81,0.33,0,4,720p,False,Hindi,4,False,False,False,,False,0,,True,False,False,Collaborative Filtering,5,,0.435,None,0.0,Credit Card,False,,True,1.68,True,False,False,,Control,v3.2
4575,425,149,140,4,2,38.38,37.1,0.76,1,4,1080p,False,English,2,False,False,False,,False,0,,True,False,False,Collaborative Filtering,12,,0.601,None,0.0,Credit Card,False,,False,0.98,False,False,True,Payment Error,Control,v4.0
4576,420,87,9,1,1,86.85,90.6,0.8,0,0,1080p,False,French,6,True,False,False,,True,2,,True,False,False,Content-Based,18,,0.532,Upgrade,19.99,PayPal,False,,False,1.72,False,False,False,,Control,v3.3
4577,377,355,11,3,1,57.52,72.13,0.62,4,4,480p,True,Original,2,False,False,False,,True,4,,True,False,False,Trending,16,,0.59,None,0.0,Credit Card,False,,True,1.81,False,False,False,,Variant_A,v4.0
4578,279,4,51,4,2,298.66,366.41,0.46,4,2,1080p,True,English,6,False,False,False,,True,4,,True,False,False,Content-Based,9,,0.968,None,0.0,PayPal,False,,False,1.63,False,False,False,,Control,v3.3
4579,171,179,15,1,1,22.31,21.41,0.56,3,1,1080p,False,English,8,True,False,False,,True,3,,True,False,False,Collaborative Filtering,8,,0.656,Signup,7.99,Credit Card,False,,False,1.84,True,False,False,,Variant_B,v3.2
4580,134,272,71,4,3,16.12,17.31,0.54,3,0,1080p,True,English,3,False,False,False,,True,3,Thumbs Up,True,True,True,Collaborative Filtering,6,111.2,0.595,Signup,13.99,Debit Card,False,,False,0.42,True,False,False,,Control,v4.0
4581,495,196,102,2,3,243.92,285.45,0.55,0,4,1080p,False,Original,5,False,True,False,,True,5,,True,False,False,Content-Based,17,,0.784,Upgrade,7.99,Debit Card,False,,True,1.39,True,True,False,,Variant_A,v3.3
4582,453,208,138,4,3,134.29,169.53,0.92,5,2,1080p,False,English,6,False,False,False,,False,0,,True,False,False,Content-Based,14,,0.81,None,0.0,Apple Pay,False,,False,0.86,True,True,False,,Variant_A,v3.3
4583,427,111,135,4,3,268.21,327.87,0.37,0,1,1080p,False,English,3,False,False,False,,False,0,Thumbs Up,True,False,False,Content-Based,14,,0.99,None,0.0,Credit Card,False,,False,0.41,True,False,False,,Control,v3.3
4584,25,61,42,1,3,74.8,77.61,0.39,8,1,720p,False,English,3,False,False,False,,False,0,,True,False,False,Collaborative Filtering,4,,0.728,None,0.0,Apple Pay,False,,True,1.79,False,False,False,,Variant_A,v3.3
4585,18,21,40,1,3,26.96,31.73,0.61,0,4,1080p,True,English,1,False,False,False,,True,3,,True,False,False,Content-Based,8,,0.852,Renewal,0.0,Credit Card,False,,True,1.54,True,True,False,,Control,v4.0
4586,190,199,109,4,1,52.42,58.16,0.57,3,2,480p,True,English,7,False,False,True,2.8,True,4,,True,False,False,Hybrid,17,,0.629,None,0.0,Credit Card,False,,True,2.5,True,False,False,,Variant_B,v3.3
4587,141,25,80,1,3,49.11,53.94,0.35,4,0,1080p,True,German,2,False,False,True,2.8,False,0,,True,False,False,Collaborative Filtering,1,,0.503,Renewal,7.99,PayPal,False,,True,2.11,True,True,False,,Control,v3.3
4588,43,357,117,1,2,27.73,30.82,0.79,0,4,1080p,False,French,5,False,False,True,1.3,False,0,,True,True,True,Collaborative Filtering,3,99.1,0.658,None,0.0,Apple Pay,False,,False,1.08,True,False,False,,Control,v3.1
4589,334,352,10,1,3,9.57,10.73,0.41,6,1,720p,False,Spanish,5,False,False,False,,True,2,,False,False,False,Collaborative Filtering,17,,0.651,Signup,19.99,Credit Card,False,,False,1.97,True,False,False,,Variant_A,v3.3
4590,284,273,66,1,3,76.36,89.4,0.7,0,1,720p,False,English,3,False,False,False,,False,0,Thumbs Up,True,False,False,Content-Based,20,,0.652,None,0.0,Credit Card,False,,True,0.55,False,False,False,,Control,v3.2
4591,146,23,38,2,3,58.24,60.54,0.91,0,1,1080p,False,French,9,False,False,True,4.0,False,0,,True,False,False,Editorial,3,,0.817,None,0.0,PayPal,False,,True,1.23,True,False,False,,Control,v3.1
4592,315,40,117,2,2,24.44,25.34,0.98,8,4,720p,True,French,4,False,False,True,1.5,True,2,,True,False,False,Collaborative Filtering,7,,0.644,None,0.0,Debit Card,False,,True,1.07,False,False,False,,Variant_A,v3.3
4593,444,66,131,4,1,20.34,18.96,0.68,7,3,720p,False,Spanish,6,False,False,False,,True,4,,True,False,False,Hybrid,11,,0.972,None,0.0,Credit Card,False,,True,1.57,True,False,False,,Variant_A,v3.3
4594,319,138,150,4,3,230.56,265.78,0.58,6,3,720p,True,English,6,False,False,False,,True,3,,True,True,False,Content-Based,15,37.4,0.99,Cancellation,7.99,Credit Card,False,Content,False,2.03,True,False,False,,Control,v3.1
4595,441,171,9,1,2,49.56,53.16,0.91,8,3,4K,False,English,4,False,False,False,,True,1,,True,False,False,Collaborative Filtering,7,,0.714,None,0.0,Credit Card,False,,False,1.21,True,False,False,,Control,v3.2
4596,92,256,41,2,3,88.96,81.52,0.44,4,2,720p,True,Hindi,8,False,False,False,,False,0,,True,True,False,Trending,5,119.1,0.735,Renewal,7.99,PayPal,False,,False,2.18,True,False,False,,Control,v4.0
4597,179,149,79,4,3,58.82,67.14,0.9,8,4,720p,False,Original,4,False,False,False,,False,0,,True,False,False,Collaborative Filtering,17,,0.645,None,0.0,Credit Card,False,,True,1.91,True,False,False,,Variant_B,v3.3
4598,56,88,100,3,1,72.24,91.28,0.34,6,1,1080p,True,English,4,False,False,True,3.7,False,0,Thumbs Down,True,True,False,Content-Based,5,91.0,0.613,None,0.0,Credit Card,False,,False,0.75,True,True,True,Network Error,Control,v4.0
4599,155,201,186,4,3,48.15,44.89,0.85,5,2,1080p,False,French,4,False,False,True,4.8,True,1,Thumbs Down,True,False,False,Content-Based,1,,0.991,None,0.0,Debit Card,False,,True,1.38,False,False,False,,Variant_A,v4.0
4600,160,179,70,4,3,84.31,83.71,0.47,5,3,1080p,False,German,9,False,False,False,,True,1,,False,False,False,Hybrid,7,,0.424,None,0.0,Gift Card,False,,False,2.14,False,False,False,,Control,v3.2
4601,111,276,71,4,1,85.49,80.15,0.9,8,0,720p,True,English,6,True,False,False,,False,0,,True,False,False,Content-Based,17,,0.646,Cancellation,19.99,Credit Card,False,Content,True,1.91,False,False,False,,Control,v4.0
4602,137,216,30,3,2,293.2,319.78,0.66,4,2,1080p,False,English,6,False,True,False,,False,0,,True,False,False,Collaborative Filtering,8,,0.491,Renewal,13.99,Credit Card,False,,True,2.07,False,False,False,,Variant_A,v3.2
4603,232,123,178,2,3,31.85,40.15,0.43,2,2,4K,False,English,1,False,False,False,,True,5,,False,False,False,Collaborative Filtering,12,,0.836,Renewal,7.99,Credit Card,False,,False,0.72,False,False,False,,Control,v3.3
4604,480,262,17,2,3,147.23,150.44,0.4,2,4,4K,False,English,3,False,False,False,,False,0,,False,False,False,Content-Based,2,,0.517,Upgrade,0.0,Credit Card,False,,True,1.97,False,False,False,,Variant_B,v3.1
4605,468,103,92,4,1,20.76,25.57,0.34,5,2,4K,False,Original,9,False,False,False,,False,0,,True,True,True,Editorial,17,52.5,0.931,None,0.0,Debit Card,False,,True,1.07,False,False,False,,Control,v4.0
4606,220,66,89,2,1,158.17,162.13,0.4,2,4,1080p,False,Original,4,False,False,True,3.8,False,0,,True,False,False,Content-Based,20,,0.625,Cancellation,19.99,Credit Card,False,Price,False,2.4,True,False,False,,Variant_B,v3.3
4607,481,98,77,4,3,39.08,45.87,0.53,7,0,1080p,False,French,3,True,False,False,,True,4,Thumbs Up,True,False,False,Content-Based,14,,0.95,Renewal,19.99,Credit Card,False,,True,1.22,False,False,False,,Control,v3.3
4608,68,81,156,2,3,42.43,49.87,0.49,7,1,1080p,True,English,6,False,True,False,,False,0,,True,False,False,Collaborative Filtering,3,,0.992,None,0.0,PayPal,False,,False,2.25,False,False,False,,Variant_B,v4.0
4609,302,254,163,3,3,48.06,56.68,0.33,6,1,480p,True,Spanish,8,True,False,False,,True,4,Thumbs Up,True,False,False,Editorial,19,,0.863,None,0.0,Credit Card,False,,True,1.69,False,False,True,Auth Error,Control,v3.2
4610,249,291,137,3,3,15.86,20.13,0.68,8,3,1080p,False,English,3,False,False,False,,True,5,,True,True,False,Trending,14,54.9,0.774,Renewal,19.99,Debit Card,False,,True,2.34,False,False,False,,Variant_B,v3.2
4611,482,100,14,3,3,209.91,224.01,0.96,5,3,4K,False,English,1,False,True,False,,False,0,Thumbs Down,True,False,False,Collaborative Filtering,8,,0.49,None,0.0,PayPal,False,,True,1.46,False,False,False,,Control,v3.3
4612,496,342,187,3,2,22.25,24.24,0.31,7,0,1080p,False,English,4,False,False,False,,True,1,,True,True,True,Content-Based,7,97.6,0.96,Renewal,0.0,Apple Pay,False,,False,0.67,False,False,True,Payment Error,Variant_B,v4.0
4613,323,338,198,1,2,21.26,23.76,0.73,5,1,720p,False,German,1,False,False,True,2.9,False,0,,True,True,True,Hybrid,5,10.2,0.866,Renewal,7.99,Credit Card,False,,False,1.67,True,False,False,,Control,v3.3
4614,410,289,198,4,3,159.17,150.11,0.31,5,3,4K,True,English,6,True,False,False,,True,3,,True,True,True,Collaborative Filtering,3,101.7,0.573,Upgrade,7.99,Credit Card,False,,True,0.72,True,False,False,,Variant_A,v4.0
4615,392,120,88,3,1,48.76,52.77,0.61,6,2,720p,False,English,4,False,False,False,,True,2,,True,False,False,Collaborative Filtering,1,,0.681,Upgrade,0.0,Debit Card,False,,True,2.14,False,False,False,,Control,v3.1
4616,6,21,87,3,2,80.81,80.73,0.86,4,4,1080p,True,Spanish,4,False,False,False,,False,0,,True,True,False,Editorial,19,58.1,0.441,Renewal,13.99,Credit Card,False,,True,0.31,False,False,False,,Control,v3.3
4617,464,324,146,4,3,297.9,297.92,0.62,4,3,1080p,False,English,7,True,False,False,,True,4,,True,False,False,Hybrid,15,,0.795,None,0.0,Debit Card,False,,False,0.68,True,False,False,,Control,v3.3
4618,280,111,115,3,2,18.2,17.08,0.44,2,0,1080p,True,Original,7,False,False,False,,True,5,,True,True,False,Trending,1,93.2,0.475,None,0.0,Credit Card,False,,False,1.98,True,False,False,,Variant_A,v3.3
4619,432,38,66,4,3,294.58,364.51,0.97,2,1,4K,True,English,5,False,False,False,,False,0,,False,False,False,Collaborative Filtering,5,,0.791,Renewal,0.0,Apple Pay,False,,True,1.1,True,True,False,,Control,v4.0
4620,487,179,200,1,3,19.28,23.88,0.75,7,0,720p,True,English,6,False,False,False,,False,0,,True,False,False,Collaborative Filtering,20,,0.803,Downgrade,7.99,Credit Card,False,,True,0.48,True,False,True,Payment Error,Control,v3.3
4621,94,69,104,2,2,23.93,27.93,0.69,7,4,720p,True,English,3,True,False,False,,False,0,,False,False,False,Content-Based,11,,0.595,None,0.0,Credit Card,False,,True,2.49,True,False,False,,Control,v3.3
4622,429,161,114,2,1,227.94,280.86,0.94,5,4,1080p,False,Original,9,False,False,True,3.0,True,4,Thumbs Up,True,False,False,Trending,14,,0.969,None,0.0,PayPal,False,,True,1.2,False,False,False,,Control,v3.3
4623,269,302,189,1,1,194.59,204.28,0.87,0,0,1080p,False,English,4,False,False,False,,True,4,,False,False,False,Hybrid,18,,0.867,Signup,19.99,PayPal,False,,True,1.25,True,False,False,,Variant_B,v3.2
4624,197,217,172,3,3,13.5,14.44,0.68,1,3,720p,True,English,8,False,False,False,,False,0,,True,False,False,Collaborative Filtering,20,,0.698,Signup,13.99,Credit Card,False,,True,0.95,False,False,False,,Control,v4.0
4625,25,19,200,3,1,22.9,27.22,0.44,3,3,720p,False,English,1,True,False,False,,True,1,,True,True,True,Editorial,9,49.5,0.951,None,0.0,Credit Card,False,,True,0.26,True,False,False,,Variant_A,v3.3
4626,148,23,28,2,3,11.9,14.85,0.92,2,1,1080p,True,English,3,False,False,False,,True,5,,True,False,False,Content-Based,15,,0.914,None,0.0,Credit Card,False,,True,0.68,False,False,False,,Variant_A,v4.0
4627,118,217,63,4,3,57.76,55.84,0.92,5,1,720p,True,Original,7,True,False,False,,False,0,,True,False,False,Hybrid,11,,0.815,Renewal,7.99,Debit Card,False,,True,0.77,True,False,False,,Variant_B,v3.3
4628,338,123,15,3,1,264.92,283.51,0.83,2,2,480p,False,Hindi,3,False,False,False,,False,0,Thumbs Up,True,False,False,Hybrid,5,,0.492,Signup,7.99,PayPal,False,,True,1.47,True,True,False,,Control,v4.0
4629,367,145,133,2,3,17.27,21.64,0.99,6,2,4K,False,English,2,False,False,False,,False,0,Thumbs Down,True,False,False,Hybrid,15,,0.698,Upgrade,7.99,Credit Card,False,,True,2.35,False,False,False,,Control,v4.0
4630,338,313,61,1,1,269.8,261.58,0.75,7,1,1080p,False,Original,9,False,False,False,,True,5,,True,False,False,Content-Based,2,,0.919,None,0.0,PayPal,False,,False,0.44,False,False,False,,Control,v3.3
4631,66,285,155,2,1,65.19,69.74,0.61,4,2,720p,False,English,7,False,False,False,,True,5,,False,False,False,Collaborative Filtering,12,,0.765,None,0.0,Credit Card,False,,True,2.44,False,False,True,Auth Error,Control,v3.3
4632,458,204,63,2,2,24.19,26.74,0.53,4,0,720p,True,English,5,False,False,False,,False,0,,True,False,False,Hybrid,7,,0.727,Upgrade,13.99,Credit Card,False,,False,1.24,True,False,False,,Control,v3.2
4633,301,301,141,2,3,50.14,55.67,0.51,2,3,1080p,False,English,5,True,False,True,3.2,False,0,,True,True,True,Collaborative Filtering,2,4.8,0.973,Upgrade,7.99,Credit Card,False,,True,1.5,False,False,False,,Control,v3.3
4634,370,248,192,3,2,16.52,18.25,0.5,2,2,720p,False,Original,8,True,False,False,,False,0,,True,True,False,Content-Based,8,15.0,0.41,None,0.0,Credit Card,False,,False,0.18,False,False,False,,Variant_B,v4.0
4635,175,243,79,3,3,256.39,311.11,0.97,2,2,240p,True,Original,9,False,False,False,,True,4,,True,False,False,Content-Based,9,,0.407,Cancellation,13.99,Debit Card,False,Technical,False,2.14,True,False,False,,Variant_B,v4.0
4636,319,65,41,3,2,86.19,92.81,0.97,1,0,4K,True,Original,7,False,True,False,,True,5,,True,False,False,Trending,5,,0.936,Renewal,0.0,Credit Card,False,,True,2.18,True,False,False,,Variant_A,v4.0
4637,76,97,12,4,1,28.52,27.49,0.9,6,4,1080p,False,Spanish,3,False,False,False,,True,5,,True,False,False,Content-Based,15,,0.423,Cancellation,13.99,PayPal,False,Technical,False,1.91,True,False,False,,Control,v3.2
4638,495,316,161,2,3,86.0,97.67,0.83,6,1,4K,False,English,9,False,False,False,,False,0,,True,False,False,Collaborative Filtering,19,,0.6,None,0.0,Credit Card,False,,True,0.45,True,True,False,,Variant_B,v4.0
4639,461,293,153,2,3,57.78,73.56,0.85,0,0,1080p,False,English,9,True,False,False,,True,1,Thumbs Up,True,False,False,Content-Based,19,,0.954,None,0.0,Apple Pay,False,,False,1.07,True,False,False,,Variant_A,v3.3
4640,114,253,172,4,2,44.77,47.88,0.46,5,4,4K,True,English,5,False,False,False,,True,3,,True,False,False,Collaborative Filtering,13,,0.815,Renewal,19.99,Credit Card,False,,True,2.39,False,False,False,,Variant_A,v3.3
4641,111,337,72,1,1,47.48,47.18,0.32,2,0,1080p,True,English,6,False,False,False,,False,0,,True,False,False,Editorial,13,,0.789,None,0.0,Debit Card,False,,True,1.11,False,False,False,,Variant_A,v4.0
4642,249,91,93,1,2,12.64,14.43,0.3,3,3,1080p,False,French,5,False,False,False,,True,3,,True,False,False,Collaborative Filtering,6,,0.794,None,0.0,Debit Card,False,,True,0.94,False,False,False,,Control,v3.3
4643,439,65,51,1,3,2.87,3.08,0.6,8,0,1080p,False,English,6,True,False,True,1.4,True,2,,True,True,True,Content-Based,1,87.3,0.591,None,0.0,Apple Pay,False,,True,0.31,True,True,False,,Variant_B,v4.0
4644,203,339,161,3,3,142.18,129.11,0.46,1,0,1080p,False,Spanish,6,False,False,False,,True,4,,True,False,False,Editorial,10,,0.718,None,0.0,PayPal,False,,True,0.29,True,True,False,,Variant_A,v3.1
4645,147,315,68,2,3,205.05,253.78,0.87,4,3,4K,False,German,1,False,False,True,1.7,False,0,,False,False,False,Collaborative Filtering,6,,0.778,None,0.0,Debit Card,False,,True,1.14,False,False,False,,Control,v3.1
4646,35,264,56,4,1,16.69,21.18,0.89,8,1,1080p,True,English,4,False,False,False,,False,0,,True,False,False,Trending,3,,0.583,None,0.0,Credit Card,False,,True,1.4,False,False,False,,Control,v4.0
4647,487,93,39,4,1,70.6,80.42,0.8,7,4,720p,True,German,8,False,True,False,,False,0,Thumbs Down,True,True,True,Content-Based,13,16.1,0.877,Renewal,7.99,Credit Card,False,,False,2.08,True,True,True,Payment Error,Control,v4.0
4648,309,226,174,2,1,11.29,14.45,0.3,1,2,1080p,True,Hindi,1,True,False,False,,True,4,,True,True,True,Hybrid,19,117.4,0.593,Cancellation,13.99,Credit Card,False,Found Alternative,True,2.28,False,False,False,,Control,v4.0
4649,26,134,110,1,2,14.18,15.23,0.67,4,1,720p,True,English,7,False,False,False,,False,0,,True,True,False,Collaborative Filtering,10,5.8,0.443,None,0.0,Apple Pay,False,,True,1.06,False,False,False,,Control,v4.0
4650,238,185,74,4,1,16.81,18.45,0.79,2,0,1080p,False,Spanish,7,False,False,False,,False,0,,True,True,False,Editorial,13,20.9,0.521,None,0.0,PayPal,False,,True,2.12,False,False,False,,Variant_A,v3.1
4651,14,316,34,1,2,86.14,79.57,0.97,0,2,4K,False,English,3,False,False,False,,True,1,,True,False,False,Content-Based,7,,0.645,Signup,0.0,Credit Card,False,,True,1.4,False,False,False,,Control,v3.3
4652,374,162,98,3,2,25.91,26.8,0.65,3,3,480p,False,Original,9,False,False,True,1.4,True,4,,True,False,False,Editorial,15,,0.945,None,0.0,Credit Card,False,,True,2.43,True,False,False,,Variant_A,v4.0
4653,45,55,169,2,3,16.74,19.84,0.33,5,1,720p,False,English,1,False,False,False,,False,0,,True,True,False,Hybrid,4,85.0,0.649,Downgrade,0.0,Gift Card,False,,True,2.33,True,True,True,Playback Error,Variant_B,v3.1
4654,428,201,159,4,1,196.37,233.37,0.49,7,4,4K,True,Original,4,False,False,False,,False,0,Thumbs Up,False,False,False,Trending,11,,0.454,Downgrade,0.0,PayPal,False,,False,1.81,False,False,False,,Variant_B,v3.3
4655,216,38,53,1,1,89.09,109.46,0.9,7,1,480p,False,English,8,False,False,True,3.2,False,0,,True,False,False,Collaborative Filtering,8,,0.518,None,0.0,Credit Card,False,,True,0.55,False,False,False,,Variant_B,v4.0
4656,233,298,19,4,3,73.07,81.54,0.78,7,1,480p,False,Hindi,1,False,False,False,,True,4,Thumbs Down,True,True,False,Collaborative Filtering,2,42.1,0.727,None,0.0,PayPal,False,,True,2.32,False,False,False,,Variant_A,v3.3
4657,193,205,106,3,3,74.98,95.01,0.63,3,2,1080p,False,English,9,True,True,True,3.7,False,0,Thumbs Up,True,True,False,Trending,1,25.5,0.507,Renewal,7.99,Credit Card,False,,True,0.38,False,False,False,,Control,v4.0
4658,51,362,103,1,3,75.64,71.86,0.74,1,3,480p,False,English,6,False,False,False,,True,1,,True,True,True,Collaborative Filtering,1,53.2,0.438,None,0.0,Credit Card,False,,True,2.06,False,False,False,,Variant_B,v3.3
4659,427,232,12,2,2,249.49,292.12,0.3,2,3,1080p,False,English,6,False,False,False,,False,0,Thumbs Down,True,True,False,Hybrid,16,28.6,0.829,None,0.0,Credit Card,False,,True,1.29,False,False,False,,Variant_B,v4.0
